timestamp,latitude,longitude,altitude,heading,speed,roll,pitch
5,39.90833,32.75036,0.0,0.0,0.0,0.0,0.0
5,39.90833,32.75036,0.0,0.0,0.0,0.0,0.0
5,39.90833,32.75036,0.0,-0.024432438659312085,0.0,-1.5,0.6000000000000001
5,39.90865628099542,32.750360634824254,0.033161322158488354,-0.08551061144838114,144.0,0.0,-0.09999999999999987
5,39.90964949364387,32.750362572539586,0.09993630961847237,-0.08638326499821854,177.0,-0.5,0.10000000000000014
5,39.91003610040021,32.7503807122985,3.664644576526017,-4.7817795732744734,234.0,-9.0,3.6000000000000014
5,39.91057159960897,32.75046357161186,9.972435707643331,-8.587049228080165,297.0,1.5,3.000000000000001
5,39.91138626178484,32.7506130091627,24.316955765964448,-9.987386472228675,351.0,-4.5,6.600000000000004
5,39.914147442406545,32.75157324852693,112.736810545026,-20.34633271924736,396.0,-6.0,9.6
5,39.91675835800532,32.7532638737652,234.8053047442373,-28.774589524832773,441.0,-0.5,11.099999999999994
5,39.91875263797273,32.75469293984573,332.1572297767406,-29.09484526999763,464.5,-1.0,12.19999999999999
5,39.921205390934304,32.756535598000944,469.9498086361924,-30.193465849185074,475.0,0.0,13.299999999999986
5,39.923600147131545,32.75771443388675,619.057611935091,-15.190867121524988,467.0,5.0,16.499999999999975
5,39.92583695261972,32.75796718877424,768.0760561716818,27.25682284124847,458.5,11.5,19.899999999999963
5,39.927496387932706,32.75475108056687,998.1405715086594,71.00260560304123,451.5,5.5,20.299999999999947
5,39.927913009354654,32.7516626308399,1169.3617006057952,80.54720815438162,444.0,0.0,18.799999999999926
5,39.928358153624885,32.74873852024272,1326.0208829078283,75.80569646948251,436.5,-1.5,18.69999999999991
5,39.92891873046029,32.7462103214171,1462.1671186588935,73.372800243022,485.5,0.0,17.99999999999989
5,39.930284432091675,32.74076116616195,1763.8951836054923,70.1067204328966,611.5,0.0,18.299999999999876
5,39.93198699977885,32.734759733454496,2086.7988252044106,69.33356115044317,737.5,0.0,17.39999999999986
5,39.933409775208766,32.72984065770941,2333.7451806031013,69.33356115044317,825.5,0.0,15.999999999999842
5,39.93547174351028,32.72271146858462,2666.823267364802,69.33356115044317,819.0,0.0,14.699999999999847
5,39.936929006089514,32.71767290105543,2884.1343711256995,69.33356115044317,810.5,0.0,12.999999999999853
5,39.938669172814514,32.71165603540405,3108.774568294676,69.33356115044317,803.0,0.0,11.499999999999858
5,39.93889638886756,32.710870393113424,3135.5117123734917,69.33356115044317,792.0,0.0,9.299999999999866
5,39.940645190312324,32.704823496943085,3292.5717458884706,69.33356115044317,822.5,0.0,7.799999999999871
5,39.94264671325637,32.69790256835667,3444.6862449471964,69.33356115044317,900.0,0.0,6.499999999999876
5,39.945402018558504,32.68837486068269,3615.0113948346857,69.33356115044317,900.0,0.0,5.19999999999988
5,39.94741379640597,32.681730750769965,3729.2922426916175,65.34224366364369,900.0,-5.0,6.499999999999884
5,39.94984745360853,32.67644055178781,3861.5794704804275,49.17506517216316,900.0,-7.5,8.999999999999883
5,39.95344933223291,32.67219596671413,4016.068246497516,36.21103581821298,900.0,-6.5,7.699999999999887
5,39.95806285482262,32.66879210404643,4153.24272609095,24.174508557755065,900.0,-8.0,6.199999999999893
5,39.963663977481566,32.66640218892064,4273.191528753721,13.196763712576553,900.0,-6.5,4.699999999999898
5,39.96855706495299,32.66567210125149,4361.439890198825,1.9536094277914766,900.0,-6.5,5.1999999999999025
5,39.970541837751654,32.665736210657656,4416.187911167273,-2.217308287952637,900.0,0.0,9.199999999999902
5,39.97203843704844,32.66581182232486,4480.572057656094,-2.217308287952637,900.0,0.0,13.199999999999887
5,39.97390601484669,32.6659061790007,4588.321049938128,-2.217308287952637,900.0,0.0,17.199999999999875
5,39.9759105598386,32.666007458607375,4732.387189395452,-2.217308287952637,900.0,0.0,21.19999999999986
5,39.97726896599804,32.66607609376417,4847.965054181596,-2.217308287952637,900.0,0.0,25.199999999999847
5,39.978844010800884,32.666155676558944,5005.326957749924,-2.217308287952637,900.0,0.0,29.39999999999983
5,39.981307534219724,32.666280155182406,5259.383631460365,-2.217308287952637,900.0,0.0,26.19999999999984
5,39.98301247942018,32.66636630665561,5408.659683353316,-2.217308287952637,900.0,0.0,21.999999999999854
5,39.987375821818155,32.666616634614066,5748.025666770068,-6.168544981305035,893.5,-3.0,21.89999999999984
5,39.991713338530836,32.66948185582153,6161.246528253327,-33.73659891654863,886.0,-2.5,22.799999999999823
5,39.99433276146444,32.672394812477435,6438.674252966058,-45.0497368681494,877.5,0.0,20.299999999999816
5,39.99772646360789,32.67694025977637,6784.47533523422,-46.22517561424098,870.0,0.0,18.399999999999803
5,39.99961112999534,32.67950799242502,6963.692563518862,-46.22517561424098,860.0,0.0,16.399999999999775
5,40.002258558097864,32.68332694659483,7186.074232717019,-48.36122815524125,851.5,0.0,14.699999999999775
5,40.00713887735684,32.6904932489097,7572.4379150358545,-48.36122815524125,846.0,0.0,13.59999999999978
5,40.0112119750819,32.69647461655805,7869.157624010507,-48.36122815524125,840.0,0.0,12.399999999999784
5,40.01517983476678,32.702301785245496,8129.624432607976,-48.36122815524125,833.0,0.0,10.999999999999789
5,40.01908657267013,32.708039526024805,8357.81850467901,-48.36122815524125,827.0,0.0,9.799999999999793
5,40.02263441274647,32.71317895024494,8542.581793297175,-47.08029495284072,819.5,0.0,8.099999999999799
5,40.02393698254868,32.715008140583464,8584.144032474376,-47.08029495284072,809.5,0.0,4.9999999999998
